기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20250607,출발시간,1600,ST-461,응암1동_023_2,ST-87,성산2동_001_2,1,57.0,8504.0
20250607,도착시간,1035,ST-1976,문래동_032_1,ST-1497,목1동_003_2,1,7.0,1028.0
20250607,도착시간,1100,ST-295,당산2동_025_1,ST-1701,당산2동_057_1,1,6.0,690.0
20250607,도착시간,1310,ST-1439,광희동_009_1,ST-1670,회현동_001_1,2,49.0,6557.0
20250607,출발시간,925,ST-2793,장위2동_005_1,ST-3264,장위3동_029_2,1,11.0,1392.0
20250607,도착시간,1655,ST-3224,신정3동_010_2,ST-319,신월7동_015_1,1,15.0,870.0
20250607,도착시간,2140,ST-2017,목1동_031_1,ST-1017,목5동_008_1,1,11.0,1490.0
20250607,도착시간,755,ST-2509,전농2동_008_1,ST-2407,구의3동_009_2,1,33.0,6514.0
20250607,도착시간,2025,ST-3297,소공동_003_1,ST-2199,천연동_027_2,1,40.0,2507.0
20250607,출발시간,1900,ST-55,여의동_006_11,ST-67,여의동_037_2,1,7.0,904.0
20250607,도착시간,755,ST-1402,공항동_038_1,ST-1063,가양1동_016_1,1,3.0,353.0
20250607,도착시간,1335,ST-1264,청룡동_031_1,ST-2379,서원동_023_1,1,4.0,680.0
20250607,도착시간,1905,ST-1335,면목2동_026_1,ST-1380,망우3동_002_1,1,89.0,6814.0
20250607,출발시간,510,ST-1194,군자동_003_1,ST-1263,군자동_035_1,1,4.0,940.0
20250607,도착시간,2330,ST-211,망원2동_022_1,ST-3113,남가좌2동_021_1,1,18.0,3016.0
20250607,출발시간,1935,ST-1995,목1동_006_2,ST-3330,문래동_021_1,1,14.0,1821.0
